songname,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,duration_ms,cluster_6_10
Solitude Standing,Suzanne Vega,Solitude Standing,0.57,0.63,11,-12.985,0,0.0268,0.147,0.23600000000000002,0.0717,0.945,146.264,3XfjgqBGTmgzl8XencUM2e,spotify:track:3XfjgqBGTmgzl8XencUM2e,https://api.spotify.com/v1/tracks/3XfjgqBGTmgzl8XencUM2e,289427,2
Heart,Neneh Cherry,Raw Like Sushi,0.745,0.645,6,-12.039000000000001,0,0.151,0.133,8.97e-06,0.0556,0.968,101.74,7wYlTznyA4pwedDSVZmSfC,spotify:track:7wYlTznyA4pwedDSVZmSfC,https://api.spotify.com/v1/tracks/7wYlTznyA4pwedDSVZmSfC,309200,2
Kisses On The Wind,Neneh Cherry,Raw Like Sushi,0.759,0.687,1,-10.833,1,0.0893,0.0733,1.86e-06,0.0929,0.7829999999999999,117.959,6F7LbHGLir4Z0sTVNPVgax,spotify:track:6F7LbHGLir4Z0sTVNPVgax,https://api.spotify.com/v1/tracks/6F7LbHGLir4Z0sTVNPVgax,237373,3
Player's Anthem,Junior M.A.F.I.A.,Conspiracy,0.7879999999999999,0.626,0,-8.582,1,0.354,0.262,0.0,0.0791,0.74,87.96,2qPx2QWd7vp8XxgeD9Wn5W,spotify:track:2qPx2QWd7vp8XxgeD9Wn5W,https://api.spotify.com/v1/tracks/2qPx2QWd7vp8XxgeD9Wn5W,322227,5
If I Ruled the World (Imagine That) (feat. Lauryn Hill),Nas,It Was Written,0.879,0.564,10,-7.682,0,0.247,0.0474,9.43e-06,0.0519,0.523,93.90799999999999,5PQmSHzWnlgG4EBuIqjac2,spotify:track:5PQmSHzWnlgG4EBuIqjac2,https://api.spotify.com/v1/tracks/5PQmSHzWnlgG4EBuIqjac2,282373,5
Oops (Oh My) [feat. Missy Elliott],Tweet,Southern Hummingbird,0.66,0.536,10,-8.786,0,0.29,0.233,0.006690000000000001,0.111,0.775,159.963,5Y0E3dOeynKuLDAXu0t0Bg,spotify:track:5Y0E3dOeynKuLDAXu0t0Bg,https://api.spotify.com/v1/tracks/5Y0E3dOeynKuLDAXu0t0Bg,237800,5
No More Rain (In This Cloud),Angie Stone,Black Diamond (Deluxe Edition),0.698,0.662,7,-7.997000000000001,0,0.0861,0.5670000000000001,1.44e-06,0.0876,0.815,141.666,6mZI2vbLv1UvlclwDQ4uvc,spotify:track:6mZI2vbLv1UvlclwDQ4uvc,https://api.spotify.com/v1/tracks/6mZI2vbLv1UvlclwDQ4uvc,283701,2
Ease My Mind,Arrested Development,Zingalamaduni,0.902,0.493,4,-12.565,0,0.272,0.0071400000000000005,6.89e-06,0.0553,0.44,96.913,60qV6RaRjg9ggvWQwq7WIG,spotify:track:60qV6RaRjg9ggvWQwq7WIG,https://api.spotify.com/v1/tracks/60qV6RaRjg9ggvWQwq7WIG,252440,5
Alfie,Dionne Warwick,The Dionne Warwick Collection: Her All-Time Greatest Hits,0.317,0.293,10,-9.849,1,0.0328,0.929,5.29e-06,0.132,0.183,137.06,5eeZr5k6eprE1NToNTZuxs,spotify:track:5eeZr5k6eprE1NToNTZuxs,https://api.spotify.com/v1/tracks/5eeZr5k6eprE1NToNTZuxs,165306,1
Make It Easy on Yourself,Dionne Warwick,Presenting Dionne Warwick,0.49,0.17800000000000002,5,-19.236,1,0.0325,0.894,0.00173,0.322,0.429,80.843,2VxT8g3XP0AGiEW3paf9wP,spotify:track:2VxT8g3XP0AGiEW3paf9wP,https://api.spotify.com/v1/tracks/2VxT8g3XP0AGiEW3paf9wP,160267,1
In The Meantime,Georgie Fame,The Whole World’s Shaking,0.467,0.87,0,-7.336,0,0.0426,0.8140000000000001,2.95e-05,0.695,0.922,84.008,1IvqgPvi3ionA13xCBgrZp,spotify:track:1IvqgPvi3ionA13xCBgrZp,https://api.spotify.com/v1/tracks/1IvqgPvi3ionA13xCBgrZp,159027,2
"Yeh, Yeh",Georgie Fame,Fame At Last,0.508,0.341,8,-13.800999999999998,1,0.223,0.578,0.0,0.0863,0.763,177.835,4B1TRsyU6vgeJxf9w7LjOz,spotify:track:4B1TRsyU6vgeJxf9w7LjOz,https://api.spotify.com/v1/tracks/4B1TRsyU6vgeJxf9w7LjOz,167040,5
Fox On The Run,Manfred Mann,Fox On The Run / Too Many People,0.5429999999999999,0.733,0,-6.974,1,0.0328,0.0561,0.0,0.345,0.792,97.49700000000001,0oxQWfkZuJW8L7uiItwsB0,spotify:track:0oxQWfkZuJW8L7uiItwsB0,https://api.spotify.com/v1/tracks/0oxQWfkZuJW8L7uiItwsB0,162893,3
Treat 'Em Right,Chubb Rock,The One,0.932,0.54,1,-13.168,1,0.22699999999999998,0.0362,7.48e-05,0.204,0.57,116.351,2QHmGfplU3ypWOGgJM46in,spotify:track:2QHmGfplU3ypWOGgJM46in,https://api.spotify.com/v1/tracks/2QHmGfplU3ypWOGgJM46in,283307,5
Sound of da Police,KRS-One,Return of the Boom Bap,0.794,0.95,1,-8.78,1,0.294,0.124,7.709999999999999e-05,0.133,0.324,94.984,3Y6XWs8xMlCngyIxNOFnsp,spotify:track:3Y6XWs8xMlCngyIxNOFnsp,https://api.spotify.com/v1/tracks/3Y6XWs8xMlCngyIxNOFnsp,258507,5
Give It Away,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),0.6659999999999999,0.9359999999999999,7,-9.919,1,0.0476,0.00244,0.086,0.153,0.7759999999999999,91.57700000000001,0uppYCG86ajpV2hSR3dJJ0,spotify:track:0uppYCG86ajpV2hSR3dJJ0,https://api.spotify.com/v1/tracks/0uppYCG86ajpV2hSR3dJJ0,282907,3
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),0.5920000000000001,0.767,9,-2.7880000000000003,0,0.027000000000000003,0.0021,0.00165,0.127,0.32799999999999996,96.48299999999999,48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,329733,2
Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition),0.45799999999999996,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,64BbK9SFKH2jk86U3dGj2P,spotify:track:64BbK9SFKH2jk86U3dGj2P,https://api.spotify.com/v1/tracks/64BbK9SFKH2jk86U3dGj2P,255373,0
Scar Tissue,Red Hot Chili Peppers,Californication (Deluxe Edition),0.595,0.7170000000000001,0,-4.803,1,0.0295,0.0779,0.00274,0.10800000000000001,0.547,88.969,1G391cbiT3v3Cywg8T7DM1,spotify:track:1G391cbiT3v3Cywg8T7DM1,https://api.spotify.com/v1/tracks/1G391cbiT3v3Cywg8T7DM1,215907,0
Dreamer,Supertramp,Crime Of The Century (Remastered),0.664,0.414,5,-14.113,1,0.0675,0.8640000000000001,0.0367,0.0813,0.831,147.88299999999998,5z4ljpMLi1LTF8UG9P53fH,spotify:track:5z4ljpMLi1LTF8UG9P53fH,https://api.spotify.com/v1/tracks/5z4ljpMLi1LTF8UG9P53fH,213236,1
Give A Little Bit,Supertramp,Even In The Quietest Moments,0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.47100000000000003,90.76700000000001,6XUHsYE38CEbYunT983O9G,spotify:track:6XUHsYE38CEbYunT983O9G,https://api.spotify.com/v1/tracks/6XUHsYE38CEbYunT983O9G,248173,0
19th Nervous Breakdown - Mono Version,The Rolling Stones,Hot Rocks (1964-1971),0.47700000000000004,0.8420000000000001,4,-7.356,1,0.0371,0.0142,0.106,0.271,0.7959999999999999,96.45700000000001,21ElXnithj4MX8E4rg5lh8,spotify:track:21ElXnithj4MX8E4rg5lh8,https://api.spotify.com/v1/tracks/21ElXnithj4MX8E4rg5lh8,236400,0
As Tears Go By - Mono Version,The Rolling Stones,December’s Children (And Everybody’s),0.331,0.27699999999999997,7,-11.035,1,0.0295,0.723,0.00263,0.18100000000000002,0.366,112.78,1LD75COdR1n8jTIjommyS2,spotify:track:1LD75COdR1n8jTIjommyS2,https://api.spotify.com/v1/tracks/1LD75COdR1n8jTIjommyS2,165213,1
